Thickness,Float
3.6667392,Y
3.2456323,Y
2.4896514,Y
0.4044164,N
1.646615,Y
3.5698764,Y
2.5810578,Y
5.2811093,Y
3.2872038,Y
5.8940579,N
1.412594,N
2.9149032,Y
3.9719696,Y
4.877124,Y
1.5504846,Y
3.5759924,Y
5.5189834,N
3.0413438,Y
4.7045875,Y
3.0515828,Y
4.1383585,Y
2.0856278,Y
2.4364655,Y
2.2414184,Y
4.6062832,N
3.3747101,Y
2.5953993,Y
2.6399269,Y
6.7460941,Y
2.467178,Y
2.9544904,Y
6.253272,Y
5.6019396,Y
6.8056038,N
5.3827156,Y
3.9813323,Y
4.354241,Y
3.1578443,Y
4.7767284,Y
3.2906592,Y
4.7287993,Y
4.9679548,N
5.0402851,Y
6.0619821,Y
3.6954381,Y
2.5543362,Y
4.9495137,Y
4.361297,N
2.8880933,Y
3.2578705,N
2.412979,Y
5.8413133,Y
5.5527455,Y
5.6645009,N
3.08582,Y
2.8836875,Y
3.7011171,Y
3.2471885,Y
5.0928569,N
3.9967739,Y
4.5722587,N
5.0337274,Y
4.3831347,N
0.3371612,N
3.4986485,Y
2.2077492,Y
2.4828844,N
4.2675823,Y
3.3934281,Y
5.1976812,Y
4.6103694,Y
3.8818823,Y
4.0273795,Y
4.3266716,Y
2.394025,Y
1.4783044,Y
3.9939296,N
4.3200523,Y
5.0460387,N
2.164014,Y
5.5175721,Y
3.8934517,Y
3.8266974,N
2.6233351,N
3.2118888,Y
3.8596644,Y
4.0781489,Y
4.8140306,Y
2.6184254,Y
2.8799833,Y
4.4303214,Y
3.8199714,Y
4.6608657,Y
4.3621168,Y
3.0549569,N
2.800425,Y
3.0496368,Y
3.6587862,N
3.3568736,Y
4.5215683,Y
3.6177281,Y
2.9736682,Y
3.7893511,Y
4.198935,Y
3.9230062,Y
5.4922889,Y
3.6752629,Y
2.2508411,N
6.5088254,Y
5.2039515,N
6.2191268,N
4.9409752,Y
4.8578741,Y
3.1026673,N
7.108402,Y
5.0276815,Y
3.1947086,N
3.9237586,Y
4.7739972,Y
5.0005436,Y
3.0053239,Y
4.6463619,Y
2.9601377,Y
4.489129,Y
4.824261,N
2.1143329,N
3.8585286,Y
0.9912617,N
3.7578688,Y
3.6050696,Y
2.5269355,Y
2.2343648,Y
1.1492712,Y
2.2616867,Y
1.82628,Y
4.4865838,Y
5.664094,N
3.5514273,Y
3.1956671,Y
3.9569992,Y
3.9370572,Y
3.2987221,Y
3.6802055,Y
6.3157342,Y
3.2576492,Y
4.1210821,Y
3.2973165,Y
2.95092,Y
3.8266884,Y
5.3662864,Y
5.3574857,N
5.9133084,N
3.6247481,Y
2.9969148,Y
5.6712932,Y
2.4285629,Y
4.2334886,N
4.06859,Y
3.1804622,Y
0.977974,Y
3.9524607,Y
3.7297542,Y
3.954167,Y
1.1757055,Y
6.1611166,N
5.9809891,Y
6.5018532,Y
0.9748013,N
1.5614986,N
5.956533,N
3.1776274,N
1.2367609,Y
4.2653765,N
1.5323266,Y
4.5617661,Y
3.7594652,N
4.7869207,N
3.703426,Y
4.9811778,Y
5.1714704,Y
3.2506467,N
3.8112364,Y
4.805084,Y
3.8504702,Y
2.4699246,Y
5.9332265,Y
1.9643446,Y
6.6863449,Y
3.9445688,N
6.5668434,N
1.7240073,Y
5.4087703,N
3.5619851,Y
4.7102771,Y
3.1488173,Y
5.7565336,Y
5.0987379,N
8.1936515,N
2.1413595,Y
2.7457011,N
3.1363232,Y
2.6965771,Y
4.2414846,Y
4.4392928,Y
3.10155,Y
1.0573537,N
3.0495268,Y
4.8849981,Y
4.3758574,N
3.7698286,N
1.5826054,N
2.3172931,N
4.9677967,Y
4.8338952,Y
5.0476044,Y
4.7463393,N
3.7787652,N
4.9621991,Y
3.6386831,Y
3.0769221,Y
4.4585306,N
3.9419836,Y
3.7901882,N
2.8726599,Y
3.0992134,Y
4.0039619,Y
5.3836786,Y
3.0799294,Y
2.9143151,N
1.0952861,Y
4.4866965,Y
5.4166359,Y
3.0104122,N
5.3889076,Y
4.0933416,Y
3.8213729,Y
4.0573401,Y
3.5108394,Y
0.8621818,Y
1.6023956,N
5.6559573,Y
3.864791,Y
3.835051,N
4.2957721,Y
5.8975312,Y
6.1695532,N
3.9868448,Y
4.3766847,Y
0.4476393,Y
3.7999957,Y
4.8632296,Y
2.4978768,Y
2.8479362,Y
4.1545028,Y
3.2082129,N
5.229303,N
2.0456143,Y
3.1340667,Y
3.1831921,Y
1.0817166,N
3.4323162,Y
2.967657,Y
0.8454258,Y
4.6921187,Y
1.5998885,Y
4.8397911,Y
4.2300373,Y
1.5639268,Y
5.2156485,Y
4.4590447,N
4.3952612,Y
6.5530278,Y
4.4847603,Y
2.0773248,Y
5.0992069,Y
2.7263581,Y
7.1651333,N
4.4017336,Y
3.4960996,Y
8.2731099,N
3.0460323,Y
5.6395369,Y
2.7041808,N
1.759164,Y
3.0111395,Y
0.5801822,N
3.9914249,Y
4.1453842,Y
2.0266999,Y
4.5892818,Y
3.4837562,N
4.2185154,Y
5.006767,Y
3.4942944,Y
4.3722397,Y
3.9774645,Y
6.6520716,N
3.4202217,Y
6.8633959,N
4.0457926,Y
4.4022422,Y
3.8181744,N
2.6984372,Y
2.2157259,Y
2.5635681,Y
4.3156125,Y
4.2452428,Y
1.3743255,Y
3.6184655,Y
2.1371181,Y
0.7594548,N
3.9417466,N
3.4284888,Y
2.8609002,Y
0.1565731,N
3.8979434,Y
2.798848,Y
2.7365563,Y
2.0292586,Y
4.7776542,Y
1.424992,Y
2.6339561,N
4.1329309,N
3.4085188,Y
4.6500069,Y
2.632677,Y
1.3354664,Y
7.1997817,N
3.7531377,N
3.824557,Y
2.755201,Y
5.6763905,Y
5.0586412,Y
1.7933709,Y
3.9868783,N
4.678682,N
4.0191788,N
4.4288855,N
5.0548988,Y
3.3507003,Y
1.2950414,Y
5.3740406,N
6.2154588,N
3.7511256,Y
3.1837691,Y
5.0072348,N
3.9697795,N
4.0729729,Y
3.9506686,Y
3.2002083,Y
3.1409696,Y
3.3662576,N
6.2072532,N
3.5464833,N
2.1317186,Y
1.4396255,Y
4.7602378,Y
2.1190025,Y
3.734366,Y
5.4198386,Y
